Pathway Name,Normalized Importance Values
PATHWAYS_IN_CANCER,0.032134496
MAPK_SIGNALING_PATHWAY,0.028769368
CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.021583425
ENDOCYTOSIS,0.020183213
CHEMOKINE_SIGNALING_PATHWAY,0.015560469
LYSOSOME,0.01536383
CALCIUM_SIGNALING_PATHWAY,0.015208512
FOCAL_ADHESION,0.014981925
UBIQUITIN_MEDIATED_PROTEOLYSIS,0.014926341
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.014332891
CELL_CYCLE,0.014142979
JAK_STAT_SIGNALING_PATHWAY,0.01393276
REGULATION_OF_ACTIN_CYTOSKELETON,0.013468366
WNT_SIGNALING_PATHWAY,0.013096988
PURINE_METABOLISM,0.012965578
NEUROTROPHIN_SIGNALING_PATHWAY,0.012431976
AXON_GUIDANCE,0.012074538
HUNTINGTONS_DISEASE,0.011911114
TIGHT_JUNCTION,0.011723521
OOCYTE_MEIOSIS,0.011650686
INSULIN_SIGNALING_PATHWAY,0.011600475
T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.011130563
ALZHEIMERS_DISEASE,0.010627764
CELL_ADHESION_MOLECULES_CAMS,0.010627415
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.010456528
OXIDATIVE_PHOSPHORYLATION,0.009742634
PYRIMIDINE_METABOLISM,0.009277293
SPLICEOSOME,0.008490105
GLYCEROPHOSPHOLIPID_METABOLISM,0.008380898
PEROXISOME,0.008340289
P53_SIGNALING_PATHWAY,0.008328673
SMALL_CELL_LUNG_CANCER,0.008146183
RNA_DEGRADATION,0.007944901
PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.007817648
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.007780975
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.007749015
APOPTOSIS,0.00751145
RIBOSOME,0.007463643
B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.007339159
PROSTATE_CANCER,0.007192256
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.007144359
ADHERENS_JUNCTION,0.007124276
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.00702358
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.007002886
TGF_BETA_SIGNALING_PATHWAY,0.006937802
CHRONIC_MYELOID_LEUKEMIA,0.006733291
HEMATOPOIETIC_CELL_LINEAGE,0.006705544
TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.006640401
GNRH_SIGNALING_PATHWAY,0.006539855
ERBB_SIGNALING_PATHWAY,0.006496019
VEGF_SIGNALING_PATHWAY,0.006484926
FC_EPSILON_RI_SIGNALING_PATHWAY,0.006398446
PANCREATIC_CANCER,0.006387719
VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.006334887
PARKINSONS_DISEASE,0.006304299
RENAL_CELL_CARCINOMA,0.006189045
ECM_RECEPTOR_INTERACTION,0.006079585
ADIPOCYTOKINE_SIGNALING_PATHWAY,0.006052907
MELANOGENESIS,0.006031277
RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.005978715
NOTCH_SIGNALING_PATHWAY,0.00593353
MTOR_SIGNALING_PATHWAY,0.005613551
VIBRIO_CHOLERAE_INFECTION,0.00553252
CARDIAC_MUSCLE_CONTRACTION,0.005512569
N_GLYCAN_BIOSYNTHESIS,0.005458316
GLIOMA,0.005434988
INOSITOL_PHOSPHATE_METABOLISM,0.005396516
HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.00526326
NUCLEOTIDE_EXCISION_REPAIR,0.005230548
ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.005215971
GLUTATHIONE_METABOLISM,0.005090849
COMPLEMENT_AND_COAGULATION_CASCADES,0.005015323
NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.004904104
COLORECTAL_CANCER,0.0048584
VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.004836766
LONG_TERM_POTENTIATION,0.004828397
LYSINE_DEGRADATION,0.004787913
AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.004781112
GAP_JUNCTION,0.004752217
BASAL_CELL_CARCINOMA,0.004670503
VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.00464395
ABC_TRANSPORTERS,0.004642197
DILATED_CARDIOMYOPATHY,0.004493205
SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.004465863
VIRAL_MYOCARDITIS,0.004462775
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.004415448
PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.004383595
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.004302132
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.004109119
NON_SMALL_CELL_LUNG_CANCER,0.00410693
BASAL_TRANSCRIPTION_FACTORS,0.004071797
LEISHMANIA_INFECTION,0.004045012
MELANOMA,0.004033197
GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.00399257
ARGININE_AND_PROLINE_METABOLISM,0.00397843
BASE_EXCISION_REPAIR,0.003881573
SPHINGOLIPID_METABOLISM,0.003867459
HOMOLOGOUS_RECOMBINATION,0.003762268
DNA_REPLICATION,0.003732277
ANTIGEN_PROCESSING_AND_PRESENTATION,0.00367954
STARCH_AND_SUCROSE_METABOLISM,0.00362792
GLYCOLYSIS_GLUCONEOGENESIS,0.003587327
PRIMARY_IMMUNODEFICIENCY,0.003562154
PROPANOATE_METABOLISM,0.003496509
CITRATE_CYCLE_TCA_CYCLE,0.003476701
ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.003463988
ACUTE_MYELOID_LEUKEMIA,0.003459253
ENDOMETRIAL_CANCER,0.003367356
BLADDER_CANCER,0.003308791
RNA_POLYMERASE,0.003268826
GLYCEROLIPID_METABOLISM,0.003244682
PYRUVATE_METABOLISM,0.003164749
STEROID_HORMONE_BIOSYNTHESIS,0.003160499
PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.00313148
FRUCTOSE_AND_MANNOSE_METABOLISM,0.003108766
O_GLYCAN_BIOSYNTHESIS,0.00299456
FATTY_ACID_METABOLISM,0.002925632
PENTOSE_PHOSPHATE_PATHWAY,0.00289849
CYTOSOLIC_DNA_SENSING_PATHWAY,0.002896098
RETINOL_METABOLISM,0.002884439
DRUG_METABOLISM_OTHER_ENZYMES,0.002872395
THYROID_CANCER,0.002847359
PPAR_SIGNALING_PATHWAY,0.002829964
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.002820613
AMINOACYL_TRNA_BIOSYNTHESIS,0.002800969
ARACHIDONIC_ACID_METABOLISM,0.002790247
MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.002789583
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.002766793
TYPE_II_DIABETES_MELLITUS,0.002754926
GLYCOSAMINOGLYCAN_DEGRADATION,0.002748289
GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.002723378
PRION_DISEASES,0.002719005
BUTANOATE_METABOLISM,0.002687816
AUTOIMMUNE_THYROID_DISEASE,0.002685305
OLFACTORY_TRANSDUCTION,0.002653237
TYPE_I_DIABETES_MELLITUS,0.002645795
NITROGEN_METABOLISM,0.002584961
SELENOAMINO_ACID_METABOLISM,0.002446626
TYROSINE_METABOLISM,0.00238235
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.002355214
BETA_ALANINE_METABOLISM,0.002310901
NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.002275294
HEDGEHOG_SIGNALING_PATHWAY,0.002238729
PROTEASOME,0.002226995
MISMATCH_REPAIR,0.002218073
GALACTOSE_METABOLISM,0.002200056
HISTIDINE_METABOLISM,0.002124309
DORSO_VENTRAL_AXIS_FORMATION,0.002113491
TERPENOID_BACKBONE_BIOSYNTHESIS,0.002113358
CIRCADIAN_RHYTHM_MAMMAL,0.001956813
STEROID_BIOSYNTHESIS,0.001948913
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.001930753
BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.001825402
PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.001817387
GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.001791626
TASTE_TRANSDUCTION,0.001692112
ONE_CARBON_POOL_BY_FOLATE,0.001678386
SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.001665968
TAURINE_AND_HYPOTAURINE_METABOLISM,0.001641706
PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.001609864
DRUG_METABOLISM_CYTOCHROME_P450,0.001603711
GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.001599464
ALLOGRAFT_REJECTION,0.001595429
TRYPTOPHAN_METABOLISM,0.001555643
ETHER_LIPID_METABOLISM,0.00155051
REGULATION_OF_AUTOPHAGY,0.001469654
CYSTEINE_AND_METHIONINE_METABOLISM,0.001415103
GRAFT_VERSUS_HOST_DISEASE,0.00136987
PROTEIN_EXPORT,0.001364263
GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.001241394
RIBOFLAVIN_METABOLISM,0.001200749
RENIN_ANGIOTENSIN_SYSTEM,0.001179411
ASTHMA,0.001068121
NON_HOMOLOGOUS_END_JOINING,0.001059084
SULFUR_METABOLISM,0.001031706
LONG_TERM_DEPRESSION,0.000952125
LINOLEIC_ACID_METABOLISM,0.000913376
PHENYLALANINE_METABOLISM,0.00087509
PRIMARY_BILE_ACID_BIOSYNTHESIS,0.000830078
LIMONENE_AND_PINENE_DEGRADATION,0.000821669
PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.00079876
ALPHA_LINOLENIC_ACID_METABOLISM,0.000794759
FOLATE_BIOSYNTHESIS,0.000763427
OTHER_GLYCAN_DEGRADATION,0.000685734
ASCORBATE_AND_ALDARATE_METABOLISM,0.00055004
VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.000230294
